_isTrial:integer,_isCien:integer,_isClean:integer,id:integer,key:string,text:string
,,,231,difficulty.easy,イージー
,,,232,difficulty.easy.desc,有利な星を有効にして始める
,,,233,difficulty.normal,ノーマル
,,,234,difficulty.normal.desc,星は全部オフ
,,,235,difficulty.hard,ハード
,,,236,difficulty.hard.desc,不利な星を有効にして始める (変動値マイナス)
,,,237,difficulty.hint,あとからスターパレットで自由に変えられます
,,,238,menu.records,挑戦 {t} 回 / 完走 {c} 回
,,,239,menu.bestDelta,ベスト変動値 {n}
,,,240,menu.noRecord,まだ挑戦していない
,,,241,profile.wings,羽
,,,242,book.others,やり込み
,,,243,book.rules,本のルール
,,,244,book.threshold,本の要求 {n} 以上で開く
,,,245,book.continue,つづきから
,,,246,book.restart,はじめから
,,,247,book.restartConfirm,挑戦中のランを破棄して、はじめからにしますか？ (戦績には数えません)
,,,248,book.skits,スキット
,,,249,book.skitLocked,？？？
,,,250,book.misfortunes,見た不利イベント
,,,251,book.record.tries,挑戦 {n}
,,,252,book.record.normal,ノーマル {n}
,,,253,book.record.happy,ハッピー {n}
,,,254,book.record.lose,敗北 {n}
,,,255,star.heading,スターパレット
,,,256,star.delta,変動値
,,,257,star.active,有効な星 {n}
,,,258,star.preset.easy,イージー
,,,259,star.preset.normal,ノーマル
,,,260,star.preset.hard,ハード
,,,261,star.presetConfirm,いまの星を全部捨てて {name} を適用しますか？
,,,262,star.reset,全部オフ
,,,263,star.resetConfirm,有効な星を全部オフにしますか？
,,,264,star.detailEmpty,星をクリックすると詳細が出ます
,,,265,star.kind.origin,原点
,,,266,star.kind.node,星
,,,267,star.kind.gate,ゲート
,,,268,star.turnOn,有効にする
,,,269,star.turnOff,無効にする
,,,270,star.state.active,有効
,,,271,star.state.avail,有効にできる (道もいっしょに)
,,,272,star.state.locked,道がつながっていない
,,,273,star.gate.open,開いている
,,,274,star.gate.closed,閉じている
,,,275,gate.clearAny,本を 1 冊制覇する
,,,276,gate.happyAny,ハッピーエンドを 1 回
,,,277,gate.playedAny,1 回挑戦する
,,,278,gate.crowns,クラウン累計 {n}
,,,279,gate.clearDelta,変動値 {n} 以下で制覇
,,,280,intermission.next,つぎの章
,,,281,intermission.shop,おかいもの
,,,282,intermission.rerolls,ひきなおし {n} 回
,,,283,intermission.life,ライフ
,,,284,intermission.chapterCleared,{name} クリア
,,,285,intermission.abandon,あきらめる
,,,286,intermission.abandonConfirm,ランを破棄しますか？ (戦績には数えません)
,,,287,intermission.extraNote,本の要求を満たした！ しゅっぱつすると Extra Chapter へ
,,,288,intermission.invHint,ドラッグで並べ替え / アイテムはクリックで使う
,,,289,result.chapters,到達 {n} / {m} 章
,,,290,result.harshness,過酷さ {n}
,,,291,result.stats,ターン {t} / 撃破 {k} / 逃走 {f}
,,,292,result.delta,変動値
,,,293,result.crowns,クラウン +{n}
,,,294,result.best,ベスト更新!
,,,295,result.noNodes,有効な星なし
,,,296,result.replaySkit,スキットをもう一度
,,,297,result.seed,seed {n}
,,,298,reason.notSelectable,そのマスは選べない
,,,299,reason.emptyCell,空のマス
,,,300,reason.notTakeable,もらえないパネル
,,,301,reason.notDumpable,すてられないパネル
,,,302,reason.notEnemy,敵ではない
,,,303,reason.notEvent,イベントではない
,,,304,reason.unknownChoice,その選択肢はない
,,,305,reason.notChapterClear,とびらではない
,,,306,reason.concealed,こんらん中は並べ替えられない
,,,307,reason.overlap,重なっている
,,,308,reason.outOfSlots,スロットからはみ出す
,,,309,reason.missingEntity,全部並べてから
,,,310,reason.unknownEntity,そんな実体はない
,,,311,reason.alreadyOwned,もう持っている
,,,312,reason.unknownSlot,その枠はない
,,,313,reason.arrangementRequired,並べ方を決めてから
,,,314,reason.duplicateEntity,同じ実体が 2 回ある
,,,315,reason.noState,ランがない
